id,x,y,
410,119583.94418313791,-3680678.99131796,
411,119583.94418313791,-3679678.99131796,
412,119583.94418313791,-3678678.99131796,
413,119583.94418313791,-3677678.99131796,
414,119583.94418313791,-3676678.99131796,
415,119583.94418313791,-3675678.99131796,
416,119583.94418313791,-3674678.99131796,
417,119583.94418313791,-3673678.99131796,
418,119583.94418313791,-3672678.99131796,
419,119583.94418313791,-3671678.99131796,
420,119583.94418313791,-3670678.99131796,
421,119583.94418313791,-3669678.99131796,
422,119583.94418313791,-3668678.99131796,
423,120583.94418313791,-3714678.99131796,
424,120583.94418313791,-3713678.99131796,
425,120583.94418313791,-3712678.99131796,
426,120583.94418313791,-3711678.99131796,
427,120583.94418313791,-3710678.99131796,
428,120583.94418313791,-3709678.99131796,
429,120583.94418313791,-3708678.99131796,
430,120583.94418313791,-3707678.99131796,
431,120583.94418313791,-3706678.99131796,
432,120583.94418313791,-3705678.99131796,
433,120583.94418313791,-3704678.99131796,
434,120583.94418313791,-3703678.99131796,
435,120583.94418313791,-3702678.99131796,
436,120583.94418313791,-3701678.99131796,
437,120583.94418313791,-3700678.99131796,
438,120583.94418313791,-3699678.99131796,
439,120583.94418313791,-3698678.99131796,
440,120583.94418313791,-3697678.99131796,
441,120583.94418313791,-3696678.99131796,
442,120583.94418313791,-3695678.99131796,
443,120583.94418313791,-3694678.99131796,
444,120583.94418313791,-3693678.99131796,
445,120583.94418313791,-3692678.99131796,
446,120583.94418313791,-3691678.99131796,
447,120583.94418313791,-3690678.99131796,
448,120583.94418313791,-3689678.99131796,
449,120583.94418313791,-3688678.99131796,
450,120583.94418313791,-3687678.99131796,
451,120583.94418313791,-3686678.99131796,
452,120583.94418313791,-3685678.99131796,
453,120583.94418313791,-3684678.99131796,
454,120583.94418313791,-3683678.99131796,
455,120583.94418313791,-3682678.99131796,
456,120583.94418313791,-3681678.99131796,
457,120583.94418313791,-3680678.99131796,
458,120583.94418313791,-3679678.99131796,
459,120583.94418313791,-3678678.99131796,
460,120583.94418313791,-3677678.99131796,
461,120583.94418313791,-3676678.99131796,
462,120583.94418313791,-3675678.99131796,
463,120583.94418313791,-3674678.99131796,
464,120583.94418313791,-3673678.99131796,
465,120583.94418313791,-3672678.99131796,
466,120583.94418313791,-3671678.99131796,
467,120583.94418313791,-3670678.99131796,
468,120583.94418313791,-3669678.99131796,
469,120583.94418313791,-3668678.99131796,
470,121583.94418313791,-3714678.99131796,
471,121583.94418313791,-3713678.99131796,
472,121583.94418313791,-3712678.99131796,
473,121583.94418313791,-3711678.99131796,
474,121583.94418313791,-3710678.99131796,
475,121583.94418313791,-3709678.99131796,
476,121583.94418313791,-3708678.99131796,
477,121583.94418313791,-3707678.99131796,
478,121583.94418313791,-3706678.99131796,
479,121583.94418313791,-3705678.99131796,
480,121583.94418313791,-3704678.99131796,
481,121583.94418313791,-3703678.99131796,
482,121583.94418313791,-3702678.99131796,
483,121583.94418313791,-3701678.99131796,
484,121583.94418313791,-3700678.99131796,
485,121583.94418313791,-3699678.99131796,
486,121583.94418313791,-3698678.99131796,
487,121583.94418313791,-3697678.99131796,
488,121583.94418313791,-3696678.99131796,
